,location,substrate,treatment,concentration,replicate,slope,int,slope.se,int.se,pval,rsq,n,year
140,BS2,GlyGlyArg-AMC,killed,0,A,12.8345627,1124.00843,4.599334073,7.934129008,0.219060132,0.886195996,3,2013
141,BS2,GlyGlyArg-AMC,killed,50,A,22.01240248,2015.115556,4.608176783,7.955193675,0.131375631,0.958014859,3,2013
142,BS2,GlyGlyArg-AMC,killed,100,A,35.78515703,2793.707942,9.011930687,15.55748778,0.157056858,0.940361764,3,2013
143,BS2,GlyGlyArg-AMC,killed,150,A,37.86865512,3355.844546,11.42924184,19.77432557,0.186605358,0.916513906,3,2013
144,BS2,GlyGlyArg-AMC,killed,200,A,56.77555321,4308.657534,17.6581576,30.70541734,0.191961974,0.911800179,3,2013
145,BS2,GlyGlyArg-AMC,killed,250,A,93.61872374,4954.586184,18.74453865,32.61894832,0.125801873,0.961456281,3,2013
146,BS2,GlyGlyArg-AMC,killed,300,A,55.91318264,5940.259219,19.70428674,34.28908671,0.215698847,0.889527906,3,2013
147,BS2,GlyGlyArg-AMC,killed,400,A,66.70934187,7255.271454,7.982886699,13.89169259,0.075821633,0.985882052,3,2013
148,BS2,GlyGlyArg-AMC,killed,400,B,38.92978596,7410.218477,9.670241656,16.82800088,0.155000502,0.941882446,3,2013
149,BS2,GlyGlyArg-AMC,killed,400,C,97.50790306,8935.196786,22.39437662,39.25172488,0.143718428,0.949895783,3,2013
150,BS2,GlyGlyArg-AMC,live,0,A,17.95559112,1092.195506,1.37898824,2.342551881,0.04879657,0.994136355,3,2013
151,BS2,GlyGlyArg-AMC,live,50,A,554.7029406,2234.749217,13.71365692,23.29603102,0.015735642,0.99938917,3,2013
152,BS2,GlyGlyArg-AMC,live,100,A,726.5833167,3068.11669,1.728932492,2.937018565,0.001514858,0.999994338,3,2013
153,BS2,GlyGlyArg-AMC,live,150,A,815.7640607,3983.731626,9.312972977,15.8556233,0.0072675,0.999869686,3,2013
154,BS2,GlyGlyArg-AMC,live,200,A,974.5395573,4764.897178,49.98772995,85.10564967,0.032625984,0.997375862,3,2013
155,BS2,GlyGlyArg-AMC,live,250,A,1053.090095,5806.972866,38.28671846,65.51973497,0.023135106,0.998679946,3,2013
156,BS2,GlyGlyArg-AMC,live,300,A,1003.86196,6689.105901,22.80503144,39.02605594,0.014459794,0.999484191,3,2013
157,BS2,GlyGlyArg-AMC,live,400,A,1108.463693,8002.009769,62.21731617,106.5476796,0.035695582,0.996859394,3,2013
158,BS2,GlyGlyArg-AMC,live,400,B,1099.581916,8023.925618,8.395197253,14.37684622,0.004860433,0.999941712,3,2013
159,BS2,GlyGlyArg-AMC,live,400,C,1032.763435,8106.109984,14.68775435,25.33726317,0.009053268,0.999797781,3,2013
160,BS2,Leu-AMC,killed,0,A,13.22855767,1129.949859,2.912761692,4.65923862,0.137973995,0.953759371,3,2013
161,BS2,Leu-AMC,killed,50,A,24.22834699,1503.971084,4.074723712,6.554012442,0.10607407,0.972493492,3,2013
162,BS2,Leu-AMC,killed,100,A,38.18514255,1809.904788,9.036174864,14.53428666,0.147929186,0.946970576,3,2013
163,BS2,Leu-AMC,killed,150,A,34.89402045,2202.164962,0.605226665,0.973480259,0.011040878,0.999699252,3,2013
164,BS2,Leu-AMC,killed,200,A,47.68347204,2491.746578,0.29663708,0.478491743,0.003960336,0.999961301,3,2013
165,BS2,Leu-AMC,killed,250,A,47.65219747,2896.189341,3.779147899,6.129395253,0.050382886,0.993749728,3,2013
166,BS2,Leu-AMC,killed,300,A,41.90898625,3195.385996,1.43917271,2.33419242,0.021853211,0.998822124,3,2013
167,BS2,Leu-AMC,killed,400,A,67.06778628,3849.400014,2.966314412,4.811061637,0.028138464,0.99804765,3,2013
168,BS2,Leu-AMC,killed,400,B,64.74165369,3855.783165,2.139405887,3.469899734,0.021029624,0.998909201,3,2013
169,BS2,Leu-AMC,killed,400,C,49.04584547,3818.02878,16.07369423,26.06990458,0.201615732,0.903011502,3,2013
170,BS2,Leu-AMC,live,0,A,16.86223262,1097.82853,6.04710771,9.511254427,0.219208558,0.886047871,3,2013
171,BS2,Leu-AMC,live,50,A,2198.515716,2664.641378,38.53422892,60.60895108,0.011157137,0.999692885,3,2013
172,BS2,Leu-AMC,live,100,A,3105.88562,3475.544881,58.26118649,92.20428019,0.011940515,0.999648249,3,2013
173,BS2,Leu-AMC,live,150,A,7709.142152,6175.753274,195.2396461,308.9866876,0.016119414,0.999359019,3,2013
174,BS2,Leu-AMC,live,200,A,4175.082193,4746.034321,26.33279528,41.76898091,0.004015192,0.999960222,3,2013
