substrate,replicate,treatment,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,calib.se,location,year
GlyGlyArg-AMC,1,live,112300.2869,283370.1382,13111.44027,15057.95306,0.01335882,0.973460817,4,72.94215988,8.516245144,FP,2015
GlyGlyArg-AMC,2,live,108570.4995,284841.8901,13485.8498,15487.9471,0.015080697,0.970066034,4,70.51955923,8.759434548,FP,2015
GlyGlyArg-AMC,3,live,112030.2708,298309.1932,11185.90157,12949.62376,0.0098228,0.980450887,4,72.76677695,7.265554199,FP,2015
GlyGlyArg-AMC,kill,killed,-1911.565282,270853.4559,6745.41452,7812.427417,0.803520778,0.038604085,4,-1.24161482,4.381334351,FP,2015
Arg-AMC,1,live,5068.671787,6987.49863,531.762698,680.2455945,7.61E-05,0.938052231,8,13.32843826,1.398308391,AC,2015
Arg-AMC,2,live,4970.742911,6720.509227,86.24033577,110.3210298,1.83E-09,0.998197207,8,13.07092722,0.226775187,AC,2015
Arg-AMC,3,live,5140.28057,6858.737716,52.86028576,67.62106129,7.97E-11,0.999365895,8,13.51673873,0.138999936,AC,2015
Arg-AMC,kill,killed,177.5981941,5467.621971,39.35983445,50.60754055,0.004051142,0.772379479,8,0.467007268,0.103499525,AC,2015
Gly-AMC,1,live,1630.532633,4637.414104,69.91428488,90.42615395,4.08E-07,0.989089126,8,4.287603232,0.183844658,AC,2015
Gly-AMC,2,live,1530.750232,4591.860682,62.20308435,80.57190512,2.96E-07,0.990189643,8,4.025218207,0.163567499,AC,2015
Gly-AMC,3,live,1486.103778,4608.151646,69.76206845,90.58628392,6.98E-07,0.986950702,8,3.907817134,0.183444394,AC,2015
Gly-AMC,kill,killed,268.3665891,4264.376267,13.0170009,16.922275,8.47E-07,0.986080343,8,0.705689314,0.034229143,AC,2015
Leu-AMC,1,live,6410.246062,5859.266898,92.27594757,120.6591083,5.99E-10,0.998758235,8,16.85620464,0.242646264,AC,2015
Leu-AMC,2,live,6354.719873,5685.065143,57.29096781,75.25613199,3.62E-11,0.999512562,8,16.71019452,0.150650734,AC,2015
Leu-AMC,3,live,6479.830761,6032.815746,54.37145628,71.45920318,2.35E-11,0.999577738,8,17.03918263,0.142973668,AC,2015
Leu-AMC,kill,killed,91.19209784,4245.653923,30.48711198,40.17351064,0.024283521,0.598584092,8,0.239796202,0.080168061,AC,2015
Pyr-AMC,1,live,673.2253414,4914.108727,33.50914262,44.32535054,9.87E-07,0.985352996,8,1.770294621,0.088114709,AC,2015
Pyr-AMC,2,live,671.6815162,4832.038602,27.96143997,37.12942211,3.42E-07,0.989709153,8,1.766235021,0.073526624,AC,2015
Pyr-AMC,3,live,651.0786707,4990.365943,35.76139553,47.64040044,1.77E-06,0.982220392,8,1.712058352,0.09403717,AC,2015
Pyr-AMC,kill,killed,131.0598239,4868.781203,176.8010156,235.8727728,0.486510224,0.08389988,8,0.344631265,0.46491103,AC,2015
GlyGlyArg-AMC,1,live,1266.575808,6499.258023,38.47975336,51.64890654,5.23E-08,0.994492494,8,3.330552494,0.101185288,AC,2015
GlyGlyArg-AMC,2,live,1381.456465,6337.681859,74.17249671,99.79463129,1.55E-06,0.982997413,8,3.632639472,0.195041933,AC,2015
GlyGlyArg-AMC,3,live,1370.839203,6670.581682,121.3402045,163.8139573,2.88E-05,0.955100971,8,3.604720615,0.319072825,AC,2015
GlyGlyArg-AMC,kill,killed,41.28658054,5722.660295,16.83939665,22.79114859,0.049670222,0.500468303,8,0.108566043,0.044280409,AC,2015
Arg-AMC,1,live,4466.061279,8909.086786,33.05496099,49.53344696,1.80E-08,0.999780927,6,11.74383044,0.086920405,AC,2015
Arg-AMC,2,live,4662.829081,8960.650617,36.85897666,55.35611215,2.34E-08,0.999750116,6,12.26124558,0.096923339,AC,2015
