fluorimeter number,site,substrate ,sample.type,rep,RFU,time,date,exp.time,exp.date,year,when
1,FP2016,7,filter,2,43785.11,15:38,6/1/2016,14:32,6/1/2016,2016,PEEC2209
1,FP2016,7,filter,3,42145.89,15:39,6/1/2016,14:32,6/1/2016,2016,PEEC2210
1,FP2016,7,filter,k,37520.49,15:29,6/1/2016,14:32,6/1/2016,2016,PEEC2211
1,FP2016,1,filter,1,139704.21,15:44,6/1/2016,14:32,6/1/2016,2016,PEEC2212
1,FP2016,1,filter,2,143062.53,15:44,6/1/2016,14:32,6/1/2016,2016,PEEC2213
1,FP2016,1,filter,3,143592.48,15:44,6/1/2016,14:32,6/1/2016,2016,PEEC2214
1,FP2016,1,filter,k,98840.63,15:45,6/1/2016,14:32,6/1/2016,2016,PEEC2215
1,FP2016,2,filter,1,198429.65,15:45,6/1/2016,14:32,6/1/2016,2016,PEEC2216
1,FP2016,2,filter,2,181044.45,15:45,6/1/2016,14:32,6/1/2016,2016,PEEC2217
1,FP2016,2,filter,3,219971.98,15:45,6/1/2016,14:32,6/1/2016,2016,PEEC2218
1,FP2016,2,filter,k,216031,15:46,6/1/2016,14:32,6/1/2016,2016,PEEC2219
1,FP2016,3,filter,1,169060.03,15:46,6/1/2016,14:32,6/1/2016,2016,PEEC2220
1,FP2016,3,filter,2,229055.1,15:46,6/1/2016,14:32,6/1/2016,2016,PEEC2221
1,FP2016,3,filter,3,226404.71,15:47,6/1/2016,14:32,6/1/2016,2016,PEEC2222
1,FP2016,3,filter,k,131894,15:47,6/1/2016,14:32,6/1/2016,2016,PEEC2223
1,FP2016,4,filter,1,167905.04,15:47,6/1/2016,14:32,6/1/2016,2016,PEEC2224
1,FP2016,4,filter,2,161035.5,15:48,6/1/2016,14:32,6/1/2016,2016,PEEC2225
1,FP2016,4,filter,3,190100.7,15:48,6/1/2016,14:32,6/1/2016,2016,PEEC2226
1,FP2016,4,filter,k,167787.56,15:48,6/1/2016,14:32,6/1/2016,2016,PEEC2227
1,FP2016,5,filter,1,329713.75,15:49,6/1/2016,14:32,6/1/2016,2016,PEEC2228
1,FP2016,5,filter,2,359646.93,15:49,6/1/2016,14:32,6/1/2016,2016,PEEC2229
1,FP2016,5,filter,3,340360.06,15:49,6/1/2016,14:32,6/1/2016,2016,PEEC2230
1,FP2016,5,filter,k,181519.73,15:50,6/1/2016,14:32,6/1/2016,2016,PEEC2231
1,FP2016,6,filter,1,9269.39,15:50,6/1/2016,14:32,6/1/2016,2016,PEEC2232
1,FP2016,6,filter,2,8589.22,15:50,6/1/2016,14:32,6/1/2016,2016,PEEC2233
1,FP2016,6,filter,3,8889.67,15:51,6/1/2016,14:32,6/1/2016,2016,PEEC2234
1,FP2016,6,filter,k,2585.48,15:51,6/1/2016,14:32,6/1/2016,2016,PEEC2235
1,FP2016,7,filter,1,43078.53,15:51,6/1/2016,14:32,6/1/2016,2016,PEEC2236
1,FP2016,7,filter,2,42899.29,15:52,6/1/2016,14:32,6/1/2016,2016,PEEC2237
1,FP2016,7,filter,3,48043.24,15:52,6/1/2016,14:32,6/1/2016,2016,PEEC2238
1,FP2016,7,filter,k,31976.71,15:53,6/1/2016,14:32,6/1/2016,2016,PEEC2239
1,FP2016,1,filter,1,146074.75,16:00,6/1/2016,14:32,6/1/2016,2016,PEEC2240
1,FP2016,1,filter,2,152128.87,16:00,6/1/2016,14:32,6/1/2016,2016,PEEC2241
1,FP2016,1,filter,3,150913.03,16:01,6/1/2016,14:32,6/1/2016,2016,PEEC2242
1,FP2016,1,filter,k,100046.91,16:01,6/1/2016,14:32,6/1/2016,2016,PEEC2243
1,FP2016,2,filter,1,201645.51,16:02,6/1/2016,14:32,6/1/2016,2016,PEEC2244
1,FP2016,2,filter,2,185755.59,16:02,6/1/2016,14:32,6/1/2016,2016,PEEC2245
1,FP2016,2,filter,3,224260.76,16:02,6/1/2016,14:32,6/1/2016,2016,PEEC2246
1,FP2016,2,filter,k,233727.18,16:02,6/1/2016,14:32,6/1/2016,2016,PEEC2247
1,FP2016,3,filter,1,177735.25,16:03,6/1/2016,14:32,6/1/2016,2016,PEEC2248
1,FP2016,3,filter,2,249796.4,16:03,6/1/2016,14:32,6/1/2016,2016,PEEC2249
1,FP2016,3,filter,3,246364.32,16:04,6/1/2016,14:32,6/1/2016,2016,PEEC2250
1,FP2016,3,filter,k,133477.17,16:04,6/1/2016,14:32,6/1/2016,2016,PEEC2251
1,FP2016,4,filter,1,171022.42,16:04,6/1/2016,14:32,6/1/2016,2016,PEEC2252
1,FP2016,4,filter,2,163208.53,16:05,6/1/2016,14:32,6/1/2016,2016,PEEC2253
1,FP2016,4,filter,3,182415.53,16:05,6/1/2016,14:32,6/1/2016,2016,PEEC2254
1,FP2016,4,filter,k,169060.84,16:06,6/1/2016,14:32,6/1/2016,2016,PEEC2255
1,FP2016,5,filter,1,367094.43,16:06,6/1/2016,14:32,6/1/2016,2016,PEEC2256
1,FP2016,5,filter,2,348419.46,16:06,6/1/2016,14:32,6/1/2016,2016,PEEC2257
1,FP2016,5,filter,3,378617.81,16:07,6/1/2016,14:32,6/1/2016,2016,PEEC2258
1,FP2016,5,filter,k,184642.04,16:07,6/1/2016,14:32,6/1/2016,2016,PEEC2259
1,FP2016,6,filter,1,10790.26,16:08,6/1/2016,14:32,6/1/2016,2016,PEEC2260
1,FP2016,6,filter,2,10103.45,16:08,6/1/2016,14:32,6/1/2016,2016,PEEC2261
1,FP2016,6,filter,3,10378.99,16:08,6/1/2016,14:32,6/1/2016,2016,PEEC2262
1,FP2016,6,filter,k,2592.37,16:09,6/1/2016,14:32,6/1/2016,2016,PEEC2263
1,FP2016,7,filter,1,44585.89,16:09,6/1/2016,14:32,6/1/2016,2016,PEEC2264
1,FP2016,7,filter,2,44420.88,16:09,6/1/2016,14:32,6/1/2016,2016,PEEC2265
1,FP2016,7,filter,3,43544.17,16:10,6/1/2016,14:32,6/1/2016,2016,PEEC2266
1,FP2016,7,filter,k,32166.55,16:10,6/1/2016,14:32,6/1/2016,2016,PEEC2267
1,BS2016,1,filter,1,121394.5,18:20,6/1/2016,18:20,6/1/2016,2016,PEEC2268
1,BS2016,1,filter,2,122099.24,18:20,6/1/2016,18:20,6/1/2016,2016,PEEC2269
1,BS2016,1,filter,3,122678.28,18:20,6/1/2016,18:20,6/1/2016,2016,PEEC2270
1,BS2016,1,filter,k,87911.11,18:21,6/1/2016,18:20,6/1/2016,2016,PEEC2271
1,BS2016,2,filter,1,164852.2,18:21,6/1/2016,18:20,6/1/2016,2016,PEEC2272
1,BS2016,2,filter,2,168010.73,18:21,6/1/2016,18:20,6/1/2016,2016,PEEC2273
1,BS2016,2,filter,3,163579.92,18:22,6/1/2016,18:20,6/1/2016,2016,PEEC2274
1,BS2016,2,filter,k,140161.46,18:22,6/1/2016,18:20,6/1/2016,2016,PEEC2275
1,BS2016,3,filter,1,156009.57,18:22,6/1/2016,18:20,6/1/2016,2016,PEEC2276
1,BS2016,3,filter,2,149178.96,18:23,6/1/2016,18:20,6/1/2016,2016,PEEC2277
1,BS2016,3,filter,3,150394.17,18:23,6/1/2016,18:20,6/1/2016,2016,PEEC2278
1,BS2016,3,filter,k,108976.21,18:23,6/1/2016,18:20,6/1/2016,2016,PEEC2279
1,BS2016,4,filter,1,144407.64,18:24,6/1/2016,18:20,6/1/2016,2016,PEEC2280
1,BS2016,4,filter,2,142742.65,18:24,6/1/2016,18:20,6/1/2016,2016,PEEC2281
1,BS2016,4,filter,3,142587.95,18:24,6/1/2016,18:20,6/1/2016,2016,PEEC2282
1,BS2016,4,filter,k,142456.87,18:25,6/1/2016,18:20,6/1/2016,2016,PEEC2283
1,BS2016,5,filter,1,175629.31,18:25,6/1/2016,18:20,6/1/2016,2016,PEEC2284
1,BS2016,5,filter,2,175823.59,18:26,6/1/2016,18:20,6/1/2016,2016,PEEC2285
1,BS2016,5,filter,3,175514.64,18:26,6/1/2016,18:20,6/1/2016,2016,PEEC2286
