fluorophore,site,when,sample.type,substrate,treatment,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se,fluorimeter
AMC,bb2,PEEC2016,whole,GGR-AMC,live,2,-398.0350763,6564.173658,613.7705122,483.3555541,0.633736325,0.296053551,3,121.2146367,-3.283721234,5.063501645,UT
AMC,bb2,PEEC2016,whole,Gly-AMC,live,1,332189.3695,198694.2626,85742.1229,69745.12553,0.160809495,0.937539349,3,121.2146367,2740.505426,707.3578345,UT
AMC,bb2,PEEC2016,whole,GGR-AMC,killed,k,-947.364901,244950.9221,52.37104357,40.79429519,0.035157036,0.996953349,3,121.2146367,-7.81559824,0.432052143,UT
AMC,bb2,PEEC2016,whole,Arg-AMC,live,2,804914.233,495495.0857,121200.9027,98588.32373,0.095144984,0.977829493,3,121.2146367,6640.404618,999.8866968,UT
AMC,bb2,PEEC2016,whole,Gly-AMC,killed,k,2889.008529,169119.2679,366.5248479,298.1419244,0.080337947,0.984159292,3,121.2146367,23.83382575,3.023767245,UT
AMC,bb2,PEEC2016,whole,Pyr-AMC,live,1,4417.554914,45090.4578,945.2905715,748.5899396,0.134203154,0.956215295,3,121.2146367,36.44407173,7.798485377,UT
AMC,bb2,PEEC2016,whole,Arg-AMC,live,1,861242.2752,563908.3383,79767.53631,64205.20514,0.05879545,0.991494653,3,121.2146367,7105.101322,658.068518,UT
AMC,bb2,PEEC2016,whole,Leu-AMC,live,2,1298059.159,699174.1222,214822.118,170120.8932,0.104410942,0.973341587,3,121.2146367,10708.76582,1772.245695,UT
AMC,bb2,PEEC2016,whole,Pyr-AMC,killed,k,1795.854464,158076.7864,1710.443961,1354.526513,0.48449554,0.52434472,3,121.2146367,14.81549187,14.11086984,UT
AMC,bb2,PEEC2016,whole,Arg-AMC,killed,k,-5667.027439,107538.0839,4601.872603,3704.06544,0.434201104,0.602622157,3,121.2146367,-46.75200615,37.96466112,UT
AMC,bb2,PEEC2016,whole,Leu-AMC,live,1,1176859.072,311230.234,1326431.141,1067649.666,0.537992983,0.440462363,3,121.2146367,9708.885857,10942.82982,UT
AMC,bb2,PEEC2016,whole,Pyr-AMC,live,2,-44966.90889,278023.6343,40336.70938,31599.47289,0.465478758,0.554119604,3,121.2146367,-370.9692998,332.7709466,UT
AMC,bb2,PEEC2016,whole,GGR-AMC,live,1,4345798.343,1244871.586,1103103.56,859259.7969,0.158252328,0.939469257,3,121.2146367,35852.09231,9100.415515,UT
AMC,bb2,PEEC2016,whole,Leu-AMC,killed,k,-1038168.522,1180605.608,555689.5205,440058.9587,0.312870419,0.777301136,3,121.2146367,-8564.712565,4584.343407,UT
AMC,bb2,PEEC2016,whole,GGR-AMC,live,3,5782806.466,1163855.803,578340.8725,457996.9079,0.063457599,0.990096968,3,121.2146367,47707.1633,4771.213184,UT
AMC,bb2,PEEC2016,whole,Pyr-AMC,live,3,-42042.55391,267643.1252,22336.56237,17498.29394,0.310900238,0.779870999,3,121.2146367,-346.8438718,184.2728154,UT
AMC,bb2,PEEC2016,whole,Leu-AMC,live,3,1342135.292,816361.5977,214031.069,166718.9732,0.100674412,0.97519983,3,121.2146367,11072.38638,1765.719676,UT
AMC,BS2016,PEEC2016,filter,Gly-AMC,live,2,1933624.878,-155710.458,703426.0218,487263.2273,0.07080945,0.715808766,5,110.0305094,17573.53382,6393.008863,UT
AMC,BS2016,PEEC2016,filter,Gly-AMC,killed,k,3408.013047,141392.3627,1415.861011,972.7284587,0.095271133,0.658849391,5,110.0305094,30.97334608,12.86789472,UT
AMC,BS2016,PEEC2016,filter,Leu-AMC,live,2,113805.3107,151353.748,6743.929948,4633.232027,0.000453168,0.98957512,5,110.0305094,1034.30686,61.29145438,UT
AMC,BS2016,PEEC2016,filter,Arg-AMC,live,2,125029.8344,122649.1709,9282.626158,6343.127875,0.000884893,0.9837328,5,110.0305094,1136.31969,84.36411144,UT
AMC,BS2016,PEEC2016,filter,Leu-AMC,killed,k,-2016.153966,110906.8172,2907.563305,2024.883533,0.537912142,0.138135901,5,110.0305094,-18.32359022,26.42506447,UT
AMC,BS2016,PEEC2016,filter,Arg-AMC,killed,k,2617.56702,107442.5137,59431.4912,40611.51899,0.967637391,0.00064619,5,110.0305094,23.78946562,540.1364723,UT
AMC,BS2016,PEEC2016,filter,Gly-AMC,live,1,36970.79714,167426.5736,3750.502201,2576.679629,0.002219742,0.970051353,5,110.0305094,336.004962,34.08602051,UT
AMC,BS2016,PEEC2016,filter,GGR-AMC,killed,k,13423.87642,135785.481,1127.469023,778.8246118,0.001274178,0.979275714,5,110.0305094,122.0014021,10.24687633,UT
AMC,BS2016,PEEC2016,filter,Gly-AMC,live,3,35194.13166,167289.538,4777.143772,3264.381577,0.005169919,0.947621589,5,110.0305094,319.8579362,43.41653781,UT
AMC,BS2016,PEEC2016,filter,Pyr-AMC,live,1,35639.13746,105952.229,54652.16152,37547.268,0.560838213,0.12415036,5,110.0305094,323.9023217,496.7000681,UT
AMC,BS2016,PEEC2016,filter,Pyr-AMC,live,2,1753.044613,142974.925,543.1184283,373.1346138,0.048298825,0.776424733,5,110.0305094,15.93235024,4.936071197,UT
AMC,BS2016,PEEC2016,filter,Arg-AMC,live,1,123948.3773,121875.896,8380.784011,5726.869074,0.000670656,0.986470155,5,110.0305094,1126.490988,76.16781978,UT
AMC,BS2016,PEEC2016,filter,Pyr-AMC,killed,k,1775.432407,142899.4419,499.8587754,343.4142563,0.038039972,0.807886472,5,110.0305094,16.13581921,4.542910672,UT
