"","fluorimeter","substrate","when","treatment","site","slope","int","slope.se","int.se","pval","rsq","n"
"145","UT","Arg-AMC","PEEC2015","live","FP2015",78522.9963679159,191426.939248828,4995.58447147557,5302.32303966436,2.2284315084958e-08,0.961100183986598,12
"146","UT","Arg-AMC","PEEC2015","live","TW2015",15303.7572702598,41166.8512989531,7810.03949349549,3787.54856832931,0.0785016125459591,0.277437469436577,12
"147","UT","Arg-AMC","TN2015","killed","DOUGLAS",318.985979437672,136571.925962151,879.665897597978,914.489066555954,0.735235708926516,0.0318273511695882,6
"148","UT","Arg-AMC","TN2015","killed","DOUGLAS2",1476.61825111777,127988.772971976,752.288394704455,761.34148743862,0.121160149594605,0.490622525831338,6
"149","UT","Arg-AMC","TN2015","killed","EASTMAN",-173.411471778087,134849.926290214,712.968969650508,721.532581743114,0.81979554323195,0.0145739884738562,6
"150","UT","Arg-AMC","TN2015","killed","EBFISH",2032.1417142857,122701.656209524,380.236278590573,388.990089642168,0.00590773150906572,0.87716046582213,6
"151","UT","Arg-AMC","TN2015","killed","GSMIT",717.390284547934,119680.507675591,545.4682431406,556.035347179024,0.258774168529175,0.301883778526208,6
"152","UT","Arg-AMC","TN2015","killed","HESLER",2739.45921895005,117164.667215109,467.54948772839,479.222386262588,0.00423490127642775,0.895643251113171,6
"153","UT","Arg-AMC","TN2015","killed","IJAMS",2307.8177432896,135813.305496247,786.95650888529,755.334779293504,0.0427035111253043,0.682541229848705,6
"154","UT","Arg-AMC","TN2015","killed","LECONTEMID",2141.97721024045,134551.556775795,703.176428974849,625.19829507247,0.0381719098744644,0.698772453364158,6
"155","UT","Arg-AMC","TN2015","killed","LECONTEPEAK",923.728211463815,133129.114852464,407.175099456271,389.06198845888,0.0858578156629297,0.562682188307769,6
"156","UT","Arg-AMC","TN2015","killed","SISBP",-3438.77694480498,131572.564312798,1917.62920183156,1902.07415551815,0.14739285229946,0.445655058907219,6
"157","UT","Arg-AMC","TN2015","killed","SPP",1513.0893306051,118888.805557829,607.321148232194,610.713795245994,0.0673822768132441,0.608117887445928,6
"158","UT","Arg-AMC","TN2015","killed","THIRDCREEK",1877.82329400467,131847.006079179,837.590867746545,839.469462755211,0.0884321054810672,0.55684892911964,6
"159","UT","Arg-AMC","TN2015","killed","TNRIV",2279.58543382786,122856.651229674,790.921354850685,807.679064534693,0.0449140747838876,0.674982188892067,6
"160","UT","Arg-AMC","TN2015","killed","TNRIV2",427.762897322276,131801.111125024,549.47173903083,556.071553369476,0.479757423057986,0.131578802394862,6
"161","UT","Arg-AMC","TN2015","killed","WATERPLANT",1686.13131153794,129778.160107874,693.998302091346,666.111847886937,0.0720128487200147,0.596078218622213,6
"162","UT","Arg-AMC","TN2015","killed","WFPC",1686.13131153794,129778.160107874,693.998302091346,666.111847886937,0.0720128487200147,0.596078218622213,6
"163","UT","Arg-AMC","TN2015","live","DOUGLAS",41997.537735347,135880.141315941,851.040793368952,877.175433343371,6.48925170790195e-19,0.993472768025497,18
"164","UT","Arg-AMC","TN2015","live","DOUGLAS2",29874.0779869242,133081.470977587,6440.89302181008,6500.355834064,0.00027342056920999,0.573478868082254,18
"165","UT","Arg-AMC","TN2015","live","EASTMAN",12149.9463453273,137579.255317463,1537.3836833736,1551.5651719313,6.49400944282923e-07,0.796067781061171,18
"166","UT","Arg-AMC","TN2015","live","EBFISH",79043.4957898898,132287.609997703,1145.51270259778,1156.08816263701,3.11308278773882e-21,0.996650881006651,18
